PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Defensive_Actions,Progressive_Actions,Passes_Completed_P90,Attacking_Contributions,Mistake_Rate,Total_Carry_Distance,Duel_Efficiency,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
patrick burner,Full-Back,23,20/21,nice,nîmes,3200000,1500000,0,0,20,1434,15.9,0.846153846,7.594142259,59.05857741,1.506276151,0.017000607,1285.230126,2.071129707,0,3,5,2,0
ricardo rodríguez,Full-Back,27,20/21,ac milan,torino,3500000,1950000,0,0,,1242,,0.742306456,94.83597285,626.7393715,42.11451759,0.026763521,13255.25665,28.98681954,1,1,3,2,1
ridle baku,Full-Back,21,20/21,mainz,wolfsburg,7000000,10000000,0,0,30,2351,26.1,0.760416667,5.780518928,31.65886857,3.253934496,0.05334082,751.1994896,2.335176521,0,3,3,0,1
felix uduokhai,Centre-Back,21,20/21,wolfsburg,augsburg,6800000,7000000,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,3,0,1
raúl carnero,Full-Back,30,20/21,getafe,real valladolid,800000,200000,0,0,,1775,,0.765771192,125.3234714,864.3478261,44.24531025,0.026677353,20371.51876,34.36909504,1,3,5,2,0
wesley fofana,Centre-Back,18,20/21,saint-étienne,leicester,10000000,35000000,0,0,14,1215,13.5,0.836065574,4.666666667,39.7037037,0.148148148,0.029135338,927.8518519,5.703703704,0,3,3,0,1
alessandro tripaldelli,Full-Back,20,20/21,sassuolo,cagliari,450000,3000000,0,0,,2349,,0.796736682,152.3969849,957.8446602,56.88991302,0.044318472,20094.96433,62.54692056,1,3,4,1,0
adrián marín,Full-Back,22,20/21,alavés,granada,1000000,0,0,0,12,852,9.5,0.8,4.330985915,25.88028169,1.373239437,0.07444668,622.8169014,2.535211268,0,4,4,0,0
ömer toprak,Centre-Back,30,20/21,dortmund,werder bremen,3500000,4000000,0.753800853,0.418,10,715,7.9,0.736842105,5.79020979,53.24475524,0.881118881,0.024475524,1311.104895,3.020979021,0,1,3,2,0
álvaro gonzález,Centre-Back,29,20/21,villarreal,marseille,6500000,4000000,0.153536842,0.3555,20,1628,18.1,0.837837838,2.874692875,41.84889435,0.331695332,0.011863224,1074.140049,2.653562654,0,2,1,-1,0
achraf hakimi,Full-Back,21,21/22,inter,paris sg,60000000,68000000,0,0,37,2665,29.6,0.72,7.125703565,42.315197,4.998123827,0.043106954,798.1125704,1.621013133,0,1,1,0,1
erik palmer-brown,Centre-Back,,21/22,man city,troyes,1500000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,5,4,0
petko hristov,Centre-Back,21,21/22,fiorentina,spezia,450000,0,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,5,2,0
emerson royal,Full-Back,,21/22,real betis,barcelona,25000000,14000000,0,0,,2349,,0.796736682,152.3969849,957.8446602,56.88991302,0.044318472,20094.96433,62.54692056,1,3,1,-2,0
emerson royal,Full-Back,,21/22,barcelona,tottenham,25000000,25000000,0,0,,1458,,0.774696781,117.7192996,688.4378123,57.19141808,0.044381728,13967.0164,40.38812155,1,1,2,1,0
leonardo balerdi,Centre-Back,21,21/22,dortmund,marseille,8000000,11000000,0,0.2646,21,1634,18.2,0.807017544,3.249694002,50.72827417,0.165238678,0.031410623,1263.80049,2.919216646,0,1,1,0,1
anderson lucoqui,Full-Back,23,21/22,arm. bielefeld,mainz,1000000,0,0,0,21,1604,17.8,0.776119403,3.534912718,26.48379052,0.841645885,0.081808396,649.0773067,2.805486284,0,,3,,0
lyanco,Centre-Back,23,21/22,torino,southampton,5000000,7500000,0.325672415,0.3157,23,1959,21.8,0.895522388,3.905053599,49.5712098,0.551301685,0.017822736,1402.741194,2.297090352,0,3,4,1,1
elseid hysaj,Full-Back,26,21/22,napoli,lazio,13000000,0,0,0,24,1768,19.6,0.796610169,6.872171946,52.38122172,1.679864253,0.023023023,1046.86086,1.781674208,0,1,2,1,0
federico ceccherini,Centre-Back,28,21/22,fiorentina,hellas verona,3500000,3000000,0.119888421,0.3352,28,2008,22.3,0.895522388,4.033864542,37.29083665,0.403386454,0.047199497,896.0109562,3.989043825,0,3,4,1,0
kevin danso,Centre-Back,21,21/22,augsburg,lens,5000000,8000000,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,5,2,1
kurt zouma,Centre-Back,25,21/22,chelsea,west ham,32000000,35000000,0.090894737,0.2403,24,2029,22.5,0.863636364,3.90340069,71.68063085,0.266140956,0.009383378,1744.953179,4.169541646,0,1,3,2,0
mamadou sakho,Centre-Back,,21/22,crystal palace,montpellier,6000000,0,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,3,0,0
andrea conti,Full-Back,26,21/22,ac milan,sampdoria,2500000,0,0,0,14,837,9.3,0.717948718,7.311827957,42.3655914,2.688172043,0.039671683,1029.677419,1.935483871,0,1,3,2,0
edoardo goldaniga,Centre-Back,26,21/22,sassuolo,cagliari,1500000,1100000,0.080936842,0.3795,25,1857,20.6,0.848484848,4.313408724,31.453958,1.453957997,0.033257748,826.8659128,2.084006462,0,3,4,1,0
rayan aït-nouri,Full-Back,19,21/22,angers,wolves,18000000,11100000,0.337113046,0.233,24,1591,17.7,0.725490196,6.731615336,44.91514771,3.280955374,0.046717172,837.7184161,1.357636706,0,4,4,0,1
filip benkovic,Centre-Back,23,21/22,leicester,udinese,2000000,0,0,0,,2228,,0.768768769,97.21895332,1158.333616,13.12405484,0.019269122,32364.48264,79.37967255,1,3,3,0,0
fikayo tomori,Centre-Back,22,21/22,chelsea,ac milan,28000000,35300000,0,0,18,1511,16.8,0.78,2.680344143,49.91396426,0,0.017321785,1280.132363,2.918596956,0,1,1,0,1
angeliño,Full-Back,23,21/22,man city,leipzig,35000000,18000000,0,0,26,2161,24,0.803278689,5.830633966,44.02128644,6.205460435,0.029828851,968.6765386,1.29106895,0,1,1,0,1
kieran trippier,Full-Back,29,21/22,atlético,newcastle,18000000,14000000,0,0,28,2475,27.5,0.782178218,7.709090909,51.12727273,3.890909091,0.02301496,1146.327273,2.872727273,0,1,3,2,1
federico fazio,Centre-Back,,21/22,roma,salernitana,500000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,5,4,0
raphaël varane,Centre-Back,27,21/22,real madrid,man utd,70000000,40000000,0,0,31,2715,30.2,0.862068966,4.17679558,52.74033149,0.232044199,0.013368984,1411.790055,2.883977901,0,1,1,0,0
dominique heintz,Centre-Back,26,21/22,freiburg,union berlin,3000000,150000,0,0,21,1369,15.2,0.807017544,5.850986121,54.76260044,0.525931337,0.017586416,1585.68298,2.300949598,0,3,5,2,0
panagiotis retsos,Centre-Back,21,21/22,leverkusen,hellas verona,3500000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,4,3,0
marc oliver kempf,Centre-Back,,21/22,stuttgart,hertha bsc,7000000,500000,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,3,0,1
marc guéhi,Centre-Back,20,21/22,chelsea,crystal palace,10000000,23340000,0.186363158,0.414,40,3547,39.4,0.847328244,4.541866366,38.1618269,0.634338878,0.022367515,1039.732168,4.41499859,0,1,3,2,1
marc cucurella,Full-Back,21,21/22,getafe,brighton,20000000,18000000,0,0,,2349,,0.796736682,152.3969849,957.8446602,56.88991302,0.044318472,20094.96433,62.54692056,1,3,3,0,1
marash kumbulla,Centre-Back,20,21/22,hellas verona,roma,25000000,26500000,0.381794737,0.0568,21,1363,15.1,0.875,3.433602348,46.28760088,0.264123258,0.028682171,1066.19956,2.443140132,0,4,1,-3,0
dimitri foulquier,Full-Back,27,21/22,granada,valencia,3500000,2500000,0.221042105,0.3864,32,2663,29.6,0.770491803,3.785204656,27.61171611,1.047690575,0.065073041,635.9819752,1.385655276,0,4,3,-1,0
fodé ballo-touré,Full-Back,23,21/22,monaco,ac milan,6500000,5400000,0,0,24,662,7.4,0.851851852,7.341389728,47.44712991,4.350453172,0.034901366,940.1057402,3.942598187,0,2,1,-1,0
florian lejeune,Centre-Back,29,21/22,newcastle,alavés,4500000,4910000,0,0,34,3015,33.5,0.882978723,2.119402985,33.73134328,0.328358209,0.02306968,1079.641791,3.820895522,0,3,4,1,0
juan jesus,Centre-Back,,21/22,roma,napoli,2000000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,1,0,1
juan foyth,Centre-Back,22,21/22,tottenham,villarreal,12000000,15000000,0.744068559,0.142,16,1168,13,0.694915254,5.470890411,49.46917808,0.924657534,0.032450897,1085.547945,3.929794521,0,2,2,0,1
junior firpo,Full-Back,23,21/22,barcelona,leeds united,8000000,15000000,0,0,,1624.5,,0.735418356,118.4508266,894.8193935,53.37434768,0.031240588,20775.931,48.32473658,1,1,5,4,1
martin erlić,Centre-Back,,21/22,spezia,sassuolo,3000000,3000000,0,0,,1671,,0.684674984,70.29432456,737.8382747,8.248723988,0.024901581,18306.03459,60.12760293,1,5,3,-2,0
dayot upamecano,Centre-Back,21,21/22,leipzig,bayern munich,60000000,42500000,0,0,29,2330,25.9,0.9,6.91416309,75.43776824,0.579399142,0.017946688,2111.291845,4.017167382,0,1,1,0,1
juan miranda,Full-Back,20,21/22,barcelona,real betis,7000000,0,0,0,22,1652,18.4,0.714285714,4.848668281,37.64527845,2.015738499,0.041162228,808.6380145,2.070217918,0,1,3,2,1
aïssa mandi,Centre-Back,28,21/22,real betis,villarreal,8000000,0,0,0,28,2392,26.6,0.808823529,2.52090301,52.18645485,0.18812709,0.011567611,1433.67893,2.182274247,0,3,2,-1,1
martín cáceres,Centre-Back,33,21/22,cagliari,levante,900000,0,0,0,29,2238,24.9,0.619047619,5.227882038,32.89544236,1.327077748,0.027830487,854.7184987,1.487935657,0,4,4,0,0
matteo lovato,Centre-Back,20,21/22,hellas verona,atalanta,7000000,7200000,0,0,24,1386,15.4,0.844827586,2.662337662,31.1038961,0.519480519,0.047565119,783.3116883,2.727272727,0,4,2,-2,1
ashley young,Full-Back,35,21/22,inter,aston villa,1000000,0,0,0,26,1425,15.8,0.619047619,4.610526316,34.23157895,4.042105263,0.02689243,668.5894737,0.631578947,0,1,3,2,1
david raum,Full-Back,22,21/22,greuther fürth,hoffenheim,5000000,0,0,0,,2269.5,,0.764790779,139.2800613,1042.946715,84.24520247,0.033058303,22552.14282,58.26416052,1,5,3,-2,1
david alaba,Centre-Back,28,21/22,bayern munich,real madrid,55000000,0,0,0,32,2675,29.7,0.8,10.02616822,64.90093458,2.321495327,0.013140943,1610.949533,1.345794393,0,1,1,0,1
germán pezzella,Centre-Back,29,21/22,fiorentina,real betis,7500000,3250000,0,0,32,2743,30.5,0.8,1.574917973,32.8107911,0.164053956,0.026344676,887.433467,2.821728035,0,3,3,0,1
danny rose,Full-Back,30,21/22,tottenham,watford,3000000,0,0,0,,1172,,0.82514344,76.0867222,585.3302857,39.85412571,0.028311859,12033.47157,27.93207366,1,2,5,3,1
takehiro tomiyasu,Centre-Back,21,21/22,bologna,arsenal,20000000,18600000,0,0,31,2715,30.2,0.841584158,6.828729282,45.28176796,0.828729282,0.026701768,1120.441989,4.044198895,0,3,1,-2,1
roger ibañez,Centre-Back,,21/22,atalanta,roma,25000000,11800000,0,0,,2087,,0.752988365,84.40755556,1242.924444,5.677366703,0.014812218,32875.99556,74.44466014,1,2,1,-1,1
nikola maksimović,Centre-Back,28,21/22,napoli,genoa,10000000,0,0.337094737,0.3726,17,1207,13.4,0.769230769,3.728251864,66.06462303,0.223695112,0.010088272,1776.213753,3.28086164,0,1,4,3,0
giorgio altare,Centre-Back,21,21/22,genoa,cagliari,175000,1000000,0,0,,1746,,0.790468217,67.77066667,859.808,8.535207184,0.027363041,20615.95598,50.72989304,1,4,4,0,0
giangiacomo magnani,Centre-Back,24,21/22,sassuolo,hellas verona,5000000,4000000,0.462340746,0.4386,25,1510,16.8,0.842857143,2.086092715,27.35761589,0.298013245,0.074162679,712.0728477,5.42384106,0,3,4,1,0
benjamin henrichs,Full-Back,23,21/22,monaco,leipzig,12000000,15000000,0,0,13,540,6,0.75,7.5,43,1.333333333,0.037254902,872,1.5,0,2,1,-1,1
ben white,Full-Back,22,21/22,brighton,arsenal,28000000,58500000,0,0,36,3191,35.5,0.792792793,5.612660608,42.05264807,0.987151363,0.02161235,1029.824506,2.11532435,0,3,1,-2,1
ben gibson,Centre-Back,27,21/22,burnley,norwich,7000000,9300000,0,0,27,2356,26.2,0.961538462,9.320882852,70.02122241,0.764006791,0.005755001,1941.990662,3.132427844,0,4,5,1,1
giulian biancone,Centre-Back,20,21/22,monaco,troyes,1300000,2500000,0,0,,2087,,0.752988365,84.40755556,1242.924444,5.677366703,0.014812218,32875.99556,74.44466014,1,2,5,3,0
joachim andersen,Centre-Back,24,21/22,lyon,crystal palace,22000000,17500000,0.278242105,0.2898,34,2922,32.5,0.814814815,4.034907598,52.7926078,0.492813142,0.019165379,1556.026694,3.757700205,0,1,3,2,1
romain perraud,Full-Back,22,21/22,brest,southampton,8000000,12000000,0,0,36,3140,34.9,0.752380952,6.850318471,45.51592357,3.611464968,0.030618687,1023.363057,1.662420382,0,4,4,0,1
dan burn,Centre-Back,28,21/22,brighton,newcastle,3500000,15000000,0,0,27,2061,22.9,0.703703704,5.283842795,41.65938865,1.397379913,0.039473684,835.5895197,5.283842795,0,3,3,0,1
ryan bertrand,Full-Back,30,21/22,southampton,leicester,8000000,0,0,0,29,2598,28.9,0.688888889,5.092378753,41.08545035,1.662817552,0.029166667,819.8036952,2.390300231,0,4,3,-1,1
hassane kamara,Full-Back,26,21/22,nice,watford,6000000,4000000,0,0,36,2960,32.9,0.783333333,7.692567568,48.07094595,2.97972973,0.029165374,1012.652027,2.280405405,0,3,5,2,1
sergio ramos,Centre-Back,34,21/22,real madrid,paris sg,10000000,0,0,0,15,1275,14.2,0.911764706,8.4,71.92941176,0.494117647,0.011387164,2048.188235,2.964705882,0,1,1,0,1
jetro willems,Centre-Back,26,21/22,frankfurt,greuther fürth,2500000,0,0,0,,2327,,0.781407158,115.7156685,1120.407407,14.70843902,0.022034565,30357.07651,86.9858303,1,3,5,2,0
jeremy toljan,Full-Back,25,21/22,dortmund,sassuolo,5000000,3500000,0.214705263,0.3726,26,1490,16.6,0.735294118,5.979865772,47.77852349,2.77852349,0.038727524,871.9127517,0.966442953,0,1,3,2,0
cristian romero,Centre-Back,22,21/22,juventus,atalanta,35000000,17000000,0.144184211,0.2403,31,2545,28.3,0.805031447,3.430255403,40.1021611,0.565815324,0.045367717,1034.098232,5.092337917,0,1,2,1,1
craig dawson,Centre-Back,30,21/22,watford,west ham,3000000,2300000,0,0,22,1925,21.4,0.930232558,1.916883117,28.56623377,0.093506494,0.018723404,802.6597403,2.992207792,0,5,3,-2,0
jean-clair todibo,Centre-Back,20,21/22,barcelona,nice,12000000,16500000,0.737432385,0.3306,15,1330,14.8,0.772727273,6.090225564,66.9924812,0.609022556,0.017318159,1826.18797,2.77443609,0,1,3,2,1
mert çetin,Centre-Back,23,21/22,roma,hellas verona,2800000,7800000,0,1.830573333,,2148,,0.790452642,89.17957279,1188.424447,10.62739567,0.020397965,31263.25355,87.27213388,1,1,4,3,0
melvin bard,Full-Back,19,21/22,lyon,nice,5000000,3000000,0,0,14,432,4.8,0.777777778,9.791666667,64.375,3.75,0.036006547,1238.75,3.958333333,0,1,3,2,0
sergio escudero,Full-Back,,21/22,sevilla fc,granada,2500000,0,0,0,,1843,,0.779207072,99.73156682,912.5084972,20.26275959,0.023919562,21883.91257,54.21455925,1,2,4,2,0
sergi gómez,Centre-Back,,21/22,sevilla fc,espanyol,3000000,1000000,0,0,,2087,,0.752988365,84.40755556,1242.924444,5.677366703,0.014812218,32875.99556,74.44466014,1,2,3,1,0
jaume costa,Full-Back,32,21/22,villarreal,rcd mallorca,2000000,0,0,0,14,351,3.9,0.75,5.641025641,51.79487179,3.333333333,0.04,1054.615385,2.307692308,0,2,4,2,0
jannik vestergaard,Centre-Back,27,21/22,southampton,leicester,18000000,17600000,0,0,30,2574,28.6,0.793478261,3.356643357,51.60839161,0.699300699,0.013659238,1333.111888,4.51048951,0,4,3,-1,1
miguel llambrich,Full-Back,24,21/22,villarreal,espanyol,1600000,500000,0,0,,1491,,0.741903369,101.8340255,781.1537261,45.36701585,0.033838968,15719.31397,41.84265496,1,2,3,1,0
calum chambers,Centre-Back,,21/22,arsenal,aston villa,12000000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,3,2,1
ibrahima konaté,Centre-Back,21,21/22,leipzig,liverpool,35000000,40000000,0,0,14,695,7.7,0.857142857,4.532374101,62.15827338,0,0.024625268,1568.330935,4.273381295,0,1,1,0,1
christopher lenz,Full-Back,25,21/22,union berlin,frankfurt,5000000,0,0,0,27,2248,25,0.697247706,5.604982206,37.5133452,2.482206406,0.038084247,889.9510676,2.882562278,0,5,3,-2,1
samir caetano,Centre-Back,,21/22,udinese,watford,5000000,5000000,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,5,2,1
sead kolasinac,Centre-Back,27,21/22,arsenal,marseille,3000000,0,0,0,,1632.5,,0.830297562,97.78995156,1238.412572,8.620875339,0.011484977,29842.70475,59.8498095,1,1,1,0,1
loïc badé,Centre-Back,20,21/22,lens,rennes jugend,12000000,17000000,0,0,,1671,,0.684674984,70.29432456,737.8382747,8.248723988,0.024901581,18306.03459,60.12760293,1,5,2,-3,1
youssouf sabaly,Full-Back,27,21/22,g. bordeaux,real betis,6500000,0,0,0,33,2909,32.3,0.854166667,7.610862839,50.61533173,2.072877277,0.037265068,1007.480234,1.794431076,0,3,3,0,1
eric garcía,Centre-Back,,21/22,man city,barcelona,20000000,0,0,0.735423333,,1941,,0.803811,89.24137931,1094.03978,7.327898541,0.020988887,27255.96389,68.68356562,1,1,1,0,0
enric franquesa,Full-Back,23,21/22,villarreal,levante,800000,375000,0,0,,1491,,0.741903369,101.8340255,781.1537261,45.36701585,0.033838968,15719.31397,41.84265496,1,2,4,2,0
pol lirola,Full-Back,22,21/22,fiorentina,marseille,9000000,13000000,0.034268421,0.3117,31,2051,22.8,0.763888889,6.933203315,36.33349586,3.334958557,0.044705882,752.603608,1.93076548,0,3,1,-2,1
lucas digne,Full-Back,27,21/22,everton,aston villa,30000000,30000000,0,0,30,2681,29.8,0.734042553,5.270421485,41.32413279,3.591943305,0.037505451,914.6363297,4.364043267,0,3,3,0,1
luca netz,Full-Back,17,21/22,hertha bsc,mönchengladbach,5000000,2000000,0,0,11,309,3.4,0.7,6.116504854,36.69902913,2.621359223,0.029962547,723.4951456,3.786407767,0,3,3,0,0
akim zedadka,Full-Back,26,22/23,clermont foot,lille,4000000,0,0,0,38,3337,37.1,0.784615385,6.904405154,45.52592149,4.045549895,0.043491124,921.6841474,1.94186395,0,5,2,-3,0
yan valery,Full-Back,22,22/23,southampton,angers,2500000,2125000,0.063824561,0.3425,5,370,4.1,0.857142857,3.162162162,26.27027027,0.72972973,0.030837004,536.8378378,4.135135135,0,4,4,0,0
alessandro florenzi,Full-Back,30,22/23,roma,ac milan,5500000,3150000,0,0,24,1152,12.8,0.745454545,7.65625,50.46875,3.4375,0.018593371,1234.53125,1.796875,0,1,1,0,1
alessio romagnoli,Centre-Back,26,22/23,ac milan,lazio,17000000,0,0,0,19,1409,15.7,0.76744186,4.918381831,57.04045422,0.383250532,0.012626263,1471.234918,3.832505323,0,1,2,1,1
enzo ebosse,Centre-Back,22,22/23,angers,udinese,2000000,4000000,0,0,27,1890,21,0.725,3.857142857,43.38095238,0.80952381,0.020021645,1074.047619,1.714285714,0,4,3,-1,0
óscar mingueza,Full-Back,22,22/23,barcelona,celta vigo,6000000,0,0,0,19,894,9.9,0.588235294,5.637583893,65.63758389,3.020134228,0.020900322,1368.825503,2.013422819,0,1,3,2,1
issa diop,Centre-Back,24,22/23,west ham,fulham,10000000,17800000,0,0,13,963,10.7,0.882352941,1.682242991,38.03738318,0.093457944,0.010869565,893.7383178,2.242990654,0,3,4,1,1
issiaga sylla,Full-Back,27,22/23,toulouse,montpellier,2000000,0,0,0,,2426,,0.7949924,128.2764726,925.1527169,50.70616437,0.044746686,19469.37331,57.47947295,1,4,3,-1,0
chris richards,Centre-Back,21,22/23,bayern munich,crystal palace,7500000,12000000,0.406960979,0.2289,20,1307,14.5,0.770833333,4.889058914,57.29150727,0.344299923,0.011919699,1343.527161,4.889058914,0,1,3,2,1
jakub kiwior,Centre-Back,,22/23,spezia,arsenal,8000000,19500000,0,0,,1671,,0.684674984,70.29432456,737.8382747,8.248723988,0.024901581,18306.03459,60.12760293,1,5,1,-4,1
nayef aguerd,Centre-Back,25,22/23,rennes jugend,west ham,12000000,35000000,0,0,31,2735,30.4,0.823529412,3.685557587,64.46435101,0.197440585,0.008690929,1834.321755,3.718464351,0,2,3,1,1
neco williams,Full-Back,20,22/23,liverpool,nott'm forest,8000000,20000000,0,0,14,1192,13.2,0.672727273,10.64597315,59.87416107,4.530201342,0.036906854,1275.780201,2.718120805,0,1,5,4,0
nehuén pérez,Centre-Back,21,22/23,atlético,udinese,6000000,8000000,0,0,20,1692,18.8,0.646153846,2.978723404,31.54255319,0.425531915,0.043278085,816.5957447,2.606382979,0,1,3,2,1
moussa niakhaté,Centre-Back,,22/23,mainz,nott'm forest,18000000,13800000,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,5,2,1
nico schlotterbeck,Centre-Back,21,22/23,freiburg,dortmund,33000000,20000000,0.249749123,0.3669,32,2785,30.9,0.7734375,6.721723519,45.33931777,0.937163375,0.028415301,1275.18851,4.912028725,0,3,1,-2,1
carl jenkinson,Full-Back,,22/23,nott'm forest,newcastle,500000,0,0,0,,1564,,0.596153846,86,582,42,0.073211314,11814,49,1,5,3,-2,0
miguel gutiérrez,Full-Back,20,22/23,real madrid,girona,6000000,11000000,0,0,3,260,2.9,0.777777778,9.346153846,57.11538462,4.153846154,0.018181818,1301.538462,2.423076923,0,1,5,4,1
bremer,Centre-Back,,22/23,torino,juventus,35000000,46900000,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,1,-2,1
merih demiral,Centre-Back,23,22/23,juventus,atalanta,25000000,21000000,0.315584366,0.1534,28,1917,21.3,0.842696629,1.314553991,32.0657277,0.281690141,0.040257649,815.4460094,4.788732394,0,1,2,1,1
brian oliván,Full-Back,27,22/23,rcd mallorca,espanyol,2500000,0,0,0,28,2189,24.3,0.786885246,3.947007766,26.88899041,1.973503883,0.040693293,685.6692554,1.685701233,0,4,3,-1,0
héctor bellerín,Full-Back,26,22/23,arsenal,barcelona,20000000,0,0,0.25,23,1979,22,0.733333333,5.36634664,36.56392117,2.728650834,0.038208169,768.4790298,2.68317332,0,1,1,0,1
nahuel molina,Full-Back,23,22/23,udinese,atlético,20000000,20000000,0,0,35,2638,29.3,0.73015873,5.492797574,29.3404094,4.3328279,0.043454345,660.3639121,1.159969674,0,3,1,-2,1
christopher wooh,Centre-Back,19,22/23,lens,rennes jugend,3000000,9000000,0,0,14,1050,11.7,0.64,4.457142857,45.08571429,0.6,0.02334267,1157.657143,3.257142857,0,5,2,-3,1
clément vidal,Centre-Back,21,22/23,montpellier,ajaccio,1500000,0,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,5,2,0
craig dawson,Centre-Back,31,22/23,west ham,wolves,2500000,3750000,0,0.4205,34,2754,30.6,0.793103448,1.895424837,33.82352941,0.130718954,0.02720403,961.3398693,3.594771242,0,3,4,1,0
cristian romero,Centre-Back,23,22/23,atalanta,tottenham,48000000,52000000,0.373440555,0.1579,22,1844,20.5,0.757894737,4.295010846,56.0791757,0.68329718,0.021486124,1335.357918,4.002169197,0,2,2,0,1
bram nuytinck,Centre-Back,31,22/23,udinese,sampdoria,2000000,0,0,0,27,2033,22.6,0.766666667,1.195277914,34.57452041,0.354156419,0.014104372,955.3369405,2.523364486,0,3,3,0,0
shane duffy,Centre-Back,29,22/23,brighton,fulham,2500000,2125000,0,0,18,1436,16,0.903225806,2.757660167,56.78272981,0.313370474,0.014584654,1555.633705,4.825905292,0,3,4,1,0
ryan fredericks,Full-Back,28,22/23,west ham,bournemouth,1500000,0,0,0,7,307,3.4,1,2.931596091,33.12703583,1.465798046,0.028571429,580.1628664,1.465798046,0,3,4,1,0
cédric hountondji,Centre-Back,27,22/23,clermont foot,angers,3000000,2000000,0,0,23,2034,22.6,0.76119403,2.123893805,36.99115044,0.132743363,0.00955414,841.7699115,2.787610619,0,5,4,-1,0
nordi mukiele,Full-Back,23,22/23,leipzig,paris sg,20000000,12000000,0,0,28,1842,20.5,0.803030303,4.983713355,41.57980456,2.736156352,0.047735618,952.7687296,3.371335505,0,1,1,0,1
maxim leitsch,Centre-Back,23,22/23,vfl bochum,mainz,5000000,3500000,0,0,19,1538,17.1,0.836734694,3.159947984,40.08452536,0.468140442,0.020753267,1057.997399,2.399219766,0,,3,,1
maya yoshida,Centre-Back,32,22/23,sampdoria,fc schalke 04,1500000,0,0,0,26,1823,20.3,0.844444444,3.159626988,40.18650576,0.641799232,0.022988506,1151.930883,2.419089413,0,3,3,0,0
benoît badiashile,Centre-Back,20,22/23,monaco,chelsea,40000000,38000000,0,0,24,1838,20.4,0.734375,6.218715996,59.34711643,0.244831338,0.015934539,1585.282916,3.721436344,0,2,1,-1,0
nicolas cozza,Full-Back,22,22/23,montpellier,wolfsburg,5000000,500000,0,0,34,2770,30.8,0.720338983,4.061371841,36.22743682,0.942238267,0.038804639,894.4440433,2.826714801,0,3,3,0,0
nicolò casale,Centre-Back,23,22/23,hellas verona,lazio,7500000,8000000,0.053147368,0.4811,36,2586,28.7,0.831578947,4.559164733,33.3062645,0.974477958,0.041057368,770.7424594,3.445475638,0,4,2,-2,1
niklas stark,Centre-Back,26,22/23,hertha bsc,werder bremen,6500000,0,0,0,26,2031,22.6,0.8125,3.101920236,36.73559823,0.310192024,0.02435813,1020.531758,2.880354505,0,3,3,0,0
giulian biancone,Centre-Back,21,22/23,troyes,nott'm forest,4000000,10000000,0,0,33,2292,25.5,0.772357724,5.693717277,36.87172775,2.041884817,0.037631711,900.8246073,3.534031414,0,5,5,0,1
daniele ghilardi,Centre-Back,,22/23,fiorentina,hellas verona,250000,2050000,0,0,,1293,,0.827020202,65.94861793,650.5480663,5.589666131,0.02222724,17722.52489,46.96057539,1,3,4,1,0
matija nastasić,Centre-Back,28,22/23,fiorentina,rcd mallorca,1500000,0,0,0,5,219,2.4,1,3.287671233,58.76712329,0.410958904,0.011363636,1583.013699,1.643835616,0,3,4,1,0
matthias ginter,Centre-Back,27,22/23,mönchengladbach,freiburg,18000000,0,0,0,28,2355,26.2,0.797101449,6.152866242,55.4522293,1.605095541,0.008101444,1387.834395,3.668789809,0,3,3,0,0
matthijs de ligt,Centre-Back,21,22/23,juventus,bayern munich,70000000,67000000,0,0,31,2674,29.7,0.75,2.894540015,50.82273747,0.471204188,0.017273061,1343.605086,3.63500374,0,1,1,0,1
