PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Minutes_Played,Nineties_Played,Starts,Role_In_Prev_Club_Index,Goals,Assists,PKs,PKsM,Prev_Comp,Key_Passes,CrsPA,Progressive_Passes,Performance_Index,Nationality,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
antonio sanabria,Centre-Forward,24,20/21,real betis,torino,6500000,6500000.0,0.0,0.0,1387,15.4,16.0,41.42300194931774,6,2,0,0,Serie A,15,0,27,19.95361287655001,PAR,0,3,3,0,1
anthony knockaert,Right Winger,27,20/21,brighton,fulham,6500000,11700000.0,0.0,0.0,1837,20.41111111111111,17.820580474934037,50.44695642490702,2,6,0,0,Premier League,35,7,58,29.408831302383096,FRA,0,3,4,1,1
demarai gray,Left Winger,24,20/21,leicester,leverkusen,12000000,2000000.0,0.0,0.0,622,6.9,3.0,13.07435254803676,2,3,0,1,Premier League,16,5,21,14.817195421443111,JAM,0,3,1,-2,1
timo werner,Left Winger,24,20/21,leipzig,chelsea,64000000,53000000.0,0.0,0.0,2795,31.1,33.0,84.55861876914508,28,8,3,0,Bundesliga,53,10,102,63.85800946842559,GER,0,1,1,0,0
andrea pinamonti,Centre-Forward,21,20/21,genoa,inter,13500000,21000000.0,0.0,0.0,2236,24.8,23.0,63.067390698969646,5,1,1,1,Serie A,15,1,37,19.73334964410151,ITA,0,4,1,-3,0
andrea pinamonti,Centre-Forward,21,20/21,inter,genoa,13500000,19500000.0,0.2891,0.2891631578947369,2236,24.8,23.0,63.067390698969646,5,1,1,1,Serie A,15,1,37,19.73334964410151,ITA,0,1,4,3,0
andre silva,Centre-Forward,24,20/21,ac milan,frankfurt,24000000,3000000.0,0.0,0.0,1635,18.2,17.0,46.44249512670565,12,3,1,0,Bundesliga,31,1,39,37.3879543326613,POR,0,1,3,2,1
ante rebic,Left Winger,26,20/21,frankfurt,ac milan,32000000,6700000.0,0.0,0.0,1485,16.5,17.820580474934037,45.2735290292574,11,3,0,0,Serie A,35,5,34,28.82028282207922,CRO,0,3,1,-2,0
vedad ibisevic,Centre-Forward,35,20/21,hertha bsc,fc schalke 04,1200000,0.0,0.0,0.0,1257,13.966666666666669,17.820580474934037,41.92255901162072,7,2,1,0,Bundesliga,12,0,23,20.078396527118368,BIH,0,3,3,0,0
victor osimhen,Centre-Forward,21,20/21,lille,napoli,40000000,78900000.0,0.0,0.0,2287,25.4,25.0,66.49262043998885,13,4,2,1,Ligue 1,21,2,11,32.67205537341728,NGA,0,2,1,-1,1
roberto inglese,Centre-Forward,28,20/21,napoli,parma,12000000,21800000.0,0.5796,0.746230860821194,766,8.5,8.0,21.76970203285993,4,0,0,1,Serie A,6,0,5,9.049861601762007,ITA,0,1,4,3,1
diogo jota,Left Winger,23,20/21,wolves,liverpool,28000000,44700000.0,0.0,0.0,2284,25.4,27.0,69.12419938735728,7,1,0,0,Premier League,29,4,68,24.550782818834865,POR,0,4,1,-3,1
willian,Left Winger,31,20/21,chelsea,arsenal,22500000,0.0,0.0,0.0,2600,28.9,29.0,76.38540796435534,9,7,4,0,Premier League,75,13,173,63.23995520670134,BRA,0,1,1,0,0
amad diallo,Right Winger,18,20/21,atalanta,man utd,15000000,21300000.0,0.0,0.0,27,0.3,0.0,0.3968253968253968,1,0,0,0,Serie A,1,0,3,1.40423724811886,CIV,0,2,1,-1,1
amine gouiri,Centre-Forward,20,20/21,lyon,nice,4000000,7000000.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,Ligue 1,0,0,0,0.0,ALG,0,1,3,2,1
patrik schick,Centre-Forward,24,20/21,roma,leverkusen,25000000,26500000.0,0.0682,0.1440842105263157,1298,14.4,15.0,38.78446115288221,10,2,0,0,Serie A,20,0,20,26.70338882575004,CZE,0,1,1,0,1
papu gomez,Left Winger,32,20/21,atalanta,sevilla fc,15000000,6400000.0,0.0,0.0,2842,31.6,34.0,86.53578390420495,7,16,0,0,Serie A,101,18,276,95.09688294571616,ARG,0,2,2,0,1
felice d'amico,Centre-Forward,20,20/21,inter,sampdoria,250000,400000.0,0.0,0.0,1559,17.322222222222223,17.820580474934037,46.36112456129737,7,2,1,0,Serie A,20,2,37,25.54608421805748,,1,1,3,2,0
fernando llorente,Centre-Forward,35,20/21,napoli,udinese,1000000,500.0,0.0,0.0,501,5.6,3.0,11.354775828460038,3,1,0,0,Serie A,10,0,7,9.578021911977968,ESP,0,1,3,2,0
ferran torres,Centre-Forward,20,20/21,valencia,man city,45000000,33500000.0,0.0,0.0,2251,25.0,26.0,67.27930938457254,4,5,0,0,Liga,25,8,76,33.38402813582248,ESP,0,3,1,-2,1
raphinha,Left Winger,23,20/21,rennes jugend,leeds united,16000000,18600000.0,0.0,0.0,1690,18.8,20.0,51.18351434140909,5,3,1,0,Ligue 1,42,4,69,29.612990700182166,BRA,0,2,5,3,1
edinson cavani,Centre-Forward,33,20/21,paris sg,man utd,20000000,0.0,0.0,0.0,605,6.7,7.0,18.072960178223337,4,1,1,0,Ligue 1,10,1,13,12.663549505194446,URU,0,1,1,0,1
vagner dias,Left Winger,25,20/21,saint-étienne,fc mtz,1600000,3000000.0,0.0,0.0,1651,18.344444444444445,17.820580474934037,47.713270357887616,4,3,0,0,Ligue 1,27,6,58,24.11594618932997,,1,3,5,2,0
luis suarez,Centre-Forward,33,20/21,barcelona,atlético,28000000,9000000.0,0.0,0.0,1998,22.2,22.0,58.312447786132005,16,8,1,0,Liga,26,1,43,46.76277434387652,URU,0,1,1,0,1
leonardo candellone,Centre-Forward,23,20/21,torino,napoli,500000,500000.0,0.4724,0.0,1559,17.322222222222223,17.820580474934037,46.36112456129737,7,2,1,0,Serie A,20,2,37,25.54608421805748,,1,3,1,-2,0
pedro,Right Winger,33,20/21,chelsea,roma,9500000,0.0,0.0,0.0,661,7.3,8.0,20.18240044555834,1,1,0,0,Premier League,17,1,41,12.07149765798266,ESP,0,1,1,0,1
alexander srloth,Centre-Forward,28,20/21,crystal palace,leipzig,20000000,20000000.0,0.0,0.0,2489,27.655555555555555,17.820580474934037,60.02955489639438,23,6,0,0,Liga,34,1,40,58.50156066177904,NOR,0,3,1,-2,0
alexis sanchez,Centre-Forward,31,20/21,man utd,inter,16000000,0.0,0.0,0.0,923,10.3,10.0,26.78223336118073,4,8,1,0,Serie A,33,3,62,33.18464145959927,CHI,0,1,1,0,1
alex berenguer,Left Winger,30,20/21,torino,bilbao athletic,6000000,11130000.0,0.0,0.0,2339,25.988888888888887,17.820580474934037,57.8249693584755,6,7,0,1,Liga,46,11,78,41.05896217264464,ESP,0,3,3,0,1
alberto soro,Right Winger,23,20/21,real madrid,granada,2700000,2500000.0,0.3283,0.0,393,4.366666666666666,17.820580474934037,29.224146313208017,1,2,0,0,Liga,6,1,15,7.350271300296677,ESP,0,1,4,3,0
alvaro morata,Centre-Forward,27,20/21,chelsea,atlético,36000000,35000000.0,0.0,0.0,2098,23.3,25.0,63.71484266221108,12,2,2,1,Liga,25,1,27,32.98400507493809,ESP,0,1,1,0,0
alvaro vadillo,Left Winger,25,20/21,granada,celta vigo,2400000,0.0,0.0,0.0,1218,13.5,15.0,37.59398496240601,3,1,1,0,Liga,20,6,33,15.803863036321134,ESP,0,4,3,-1,0
alvaro vadillo,Left Winger,25,21/22,celta vigo,espanyol,700000,1800000.0,0.25,0.1224774169466218,1218,13.533333333333331,17.820580474934037,41.34936677176181,3,1,1,0,Liga,20,6,33,15.803863036321134,ESP,0,3,3,0,0
angel rodriguez,Centre-Forward,34,21/22,getafe,rcd mallorca,3000000,0.0,0.0,0.0,1374,15.3,12.0,36.02756892230576,5,0,1,1,Liga,6,1,15,12.809252061575958,ESP,0,3,4,1,0
pierre-emerick aubameyang,Centre-Forward,32,21/22,arsenal,barcelona,15000000,0.0,0.0,0.0,2332,25.9,26.0,68.46978557504872,10,3,2,0,Premier League,22,4,66,37.48356670985679,GAB,0,1,1,0,1
erik lamela,Right Winger,29,21/22,tottenham,sevilla fc,16000000,0.0,0.0,0.0,717,8.0,5.0,17.160957950431634,1,0,0,0,Premier League,8,0,36,7.096602291793916,ARG,0,2,2,0,1
wout weghorst,Centre-Forward,28,21/22,wolfsburg,burnley,20000000,17500000.0,0.0,0.0,2941,32.7,33.0,86.6750208855472,20,8,2,1,Bundesliga,43,0,59,60.288630791400784,NED,0,3,4,1,1
leon bailey,Right Winger,23,21/22,leverkusen,aston villa,35000000,32000000.0,0.0,0.0,2141,23.8,25.0,64.37621832358674,9,8,0,0,Bundesliga,48,16,63,45.868106089759074,JAM,0,1,3,2,1
amath ndiaye,Right Winger,24,21/22,getafe,rcd mallorca,4000000,3000000.0,0.0,0.0,1594,17.711111111111112,17.820580474934037,46.87552785347845,5,4,0,0,Liga,29,7,70,28.606255635240416,,1,3,4,1,0
lukas nmecha,Centre-Forward,23,21/22,man city,wolfsburg,12000000,8000000.0,0.0,0.0,1627,18.07777777777778,17.820580474934037,47.3605366718206,8,0,0,0,Bundesliga,14,3,25,22.50548991234101,GER,0,1,3,2,0
pedro,Right Winger,34,21/22,roma,lazio,5000000,0.0,0.0,0.0,1591,17.7,20.0,49.728487886382624,5,2,0,0,Serie A,29,2,65,23.14662791549114,ESP,0,1,2,1,1
rafa mir,Centre-Forward,24,21/22,wolves,sevilla fc,12000000,16000000.0,0.0,0.0,2877,32.0,32.0,84.43330548593705,13,1,2,1,Liga,9,0,39,31.03180454673296,ESP,0,4,2,-2,0
eldor shomurodov,Centre-Forward,26,21/22,genoa,roma,7000000,19600000.0,0.0,0.0,1677,18.6,16.0,45.65580618212197,8,1,0,0,Serie A,20,2,32,25.626514968971595,UZB,0,4,1,-3,0
kevin lasagna,Centre-Forward,28,21/22,udinese,hellas verona,6000000,6500000.0,0.4312,0.2474210526315788,2370,26.3,26.0,68.99888610414926,4,1,0,0,Serie A,22,2,42,21.331615539106497,ITA,0,3,4,1,0
valere germain,Centre-Forward,31,21/22,marseille,montpellier,3000000,0.0,0.0,0.0,857,9.5,6.0,20.46087440824283,3,0,0,0,Ligue 1,2,0,17,8.323324315001784,FRA,0,1,3,2,0
edoardo vergani,Centre-Forward,20,21/22,inter,salernitana,600000,0.0,0.0,0.0,12,0.1,0.0,0.1322751322751323,0,0,0,0,Serie A,0,0,0,0.0,ITA,0,1,5,4,0
edin dzeko,Centre-Forward,35,21/22,roma,inter,4000000,2800000.0,0.0,0.0,1824,20.266666666666666,17.820580474934037,50.25589234495405,7,3,0,1,Serie A,29,0,53,30.57819626499524,BIH,0,1,1,0,1
ferran torres,Centre-Forward,21,21/22,man city,barcelona,45000000,55000000.0,0.0,0.0,1306,14.5,15.0,38.91673628515734,7,2,0,0,Premier League,19,1,31,23.81619724754593,ESP,0,1,1,0,1
felipe caicedo,Centre-Forward,32,21/22,lazio,genoa,4000000,2000000.0,0.0,0.0,929,10.3,9.0,25.46644388749652,8,0,1,0,Serie A,12,0,18,19.447448936718967,ECU,0,2,4,2,0
felipe anderson,Right Winger,28,21/22,west ham,lazio,10000000,3000000.0,0.4221,0.1695207017543859,3,0.0,0.0,0.0,0,0,0,0,Premier League,0,0,1,0.1106751992144532,BRA,0,3,2,-1,0
andy delort,Centre-Forward,29,21/22,montpellier,nice,16000000,10000000.0,0.0,0.0,2482,27.6,30.0,75.98162071846282,15,9,0,1,Ligue 1,54,24,69,68.15174033059958,ALG,0,3,3,0,0
andre silva,Centre-Forward,25,21/22,frankfurt,leipzig,45000000,23000000.0,0.0,0.0,2760,30.7,32.0,82.71372876636033,28,7,7,0,Bundesliga,31,2,67,71.53730618953503,POR,0,3,1,-2,0
andros townsend,Right Winger,30,21/22,crystal palace,everton,7000000,0.0,0.0,0.0,2258,25.1,25.0,66.09579504316346,1,5,0,0,Premier League,40,22,75,37.150276264717824,ENG,0,3,3,0,1
andreas voglsammer,Centre-Forward,29,21/22,arm. bielefeld,union berlin,1700000,0.0,0.0,0.0,1000,11.1,11.0,29.156223893066,2,2,0,0,Bundesliga,11,3,23,12.950997950513834,GER,0,5,5,0,0
dusan vlahovic,Centre-Forward,21,21/22,fiorentina,juventus,70000000,83500000.0,0.0,0.0,2923,32.477777777777774,17.820580474934037,66.40815571943965,21,3,6,0,Serie A,18,0,31,46.68641037488671,SRB,0,3,1,-2,1
keita balde,Left Winger,26,21/22,monaco,cagliari,8000000,0.0,0.2039,0.242119298245614,1197,13.3,12.0,33.38206627680312,7,1,0,0,Serie A,21,0,26,15.825377946215877,SEN,0,2,4,2,1
antonio candreva,Right Winger,35,21/22,inter,sampdoria,2500000,2500000.0,0.3807,0.1096736842105262,3119,34.65555555555556,17.820580474934037,69.28881415565364,7,10,1,1,Serie A,78,31,201,77.59301421599197,ITA,0,1,3,2,1
kang-in lee,Right Winger,20,21/22,valencia,rcd mallorca,10000000,0.0,0.0,0.0,1262,14.0,15.0,38.25536062378168,0,4,0,0,Liga,22,2,80,21.58716520824748,KOR,0,3,4,1,1
jurgen locadia,Centre-Forward,25,21/22,brighton,vfl bochum,3000000,0.0,0.0,0.0,1236,13.733333333333333,17.820580474934037,41.61391703631207,2,0,0,0,Premier League,13,2,15,10.296914022385156,CUW,0,3,5,2,0
roberto soldado,Centre-Forward,36,21/22,granada,levante,1200000,500000.0,0.0,0.0,1438,16.0,16.0,42.21665274296853,9,0,2,0,Liga,9,0,19,20.41456117053417,ESP,0,4,4,0,0
franck ribery,Left Winger,38,21/22,fiorentina,salernitana,3000000,0.0,0.0,0.0,2149,23.9,28.0,68.4558618769145,2,6,0,0,Serie A,35,2,109,32.87136328687399,FRA,0,3,5,2,1
demarai gray,Left Winger,25,21/22,leverkusen,everton,8000000,2000000.0,0.0,0.0,461,5.1,5.0,13.324979114452798,1,2,0,0,Bundesliga,9,1,12,7.892567189623933,JAM,0,1,3,2,1
gaetan laborde,Centre-Forward,27,21/22,montpellier,rennes jugend,15000000,15000000.0,0.0,0.0,3256,36.2,38.0,97.88359788359789,16,8,0,0,Ligue 1,37,6,70,56.57779436310343,FRA,0,3,2,-1,1
theo walcott,Right Winger,32,21/22,everton,southampton,5000000,0.0,0.4148,0.5505188070175439,1631,18.1,20.0,50.25758841548316,3,3,0,0,Premier League,17,2,37,16.351068354082127,ENG,0,3,4,1,0
tammy abraham,Centre-Forward,23,21/22,chelsea,roma,38000000,41000000.0,0.3166,0.4065873577072452,1040,11.6,12.0,31.13338902812587,6,1,0,0,Premier League,9,0,11,14.875800752229315,ENG,0,1,1,0,0
stevan jovetic,Centre-Forward,31,21/22,monaco,hertha bsc,5000000,0.0,0.0,0.0,802,8.911111111111111,17.820580474934037,35.235316213266806,6,0,0,1,Ligue 1,11,2,50,22.17277070147188,MNE,0,2,3,1,1
matheus cunha,Centre-Forward,22,21/22,hertha bsc,atlético,30000000,35000000.0,0.0,0.0,2149,23.9,25.0,64.50849345586187,7,4,2,1,Bundesliga,49,2,85,43.13160983017107,BRA,0,3,1,-2,0
olivier giroud,Centre-Forward,34,21/22,chelsea,ac milan,4000000,4800000.0,0.0,0.0,748,8.3,8.0,21.505151768309663,4,0,0,0,Premier League,6,0,5,9.049861601762007,FRA,0,1,1,0,1
ognjen stijepovic,Centre-Forward,21,21/22,sampdoria,spezia,100000,0.0,0.3918,0.3421020191989407,1559,17.322222222222223,17.820580474934037,46.36112456129737,7,2,1,0,Serie A,20,2,37,25.54608421805748,,0,3,5,2,0
danny ings,Centre-Forward,29,21/22,southampton,aston villa,22000000,29400000.0,0.0,0.0,2173,24.1,26.0,66.08883319409635,12,4,2,0,Premier League,22,2,52,38.2235091333365,ENG,0,4,3,-1,0
joshua king,Centre-Forward,29,21/22,everton,watford,8000000,0.0,0.0,0.0,148,1.6,0.0,2.1164021164021167,0,0,0,0,Premier League,0,0,5,0.8423285832468467,NOR,0,3,5,2,0
taiwo awoniyi,Centre-Forward,23,21/22,liverpool,union berlin,5000000,8550000.0,0.7113,0.6259052631578949,1359,15.1,16.0,41.026176552492345,5,2,0,0,Bundesliga,20,0,16,17.858837581780204,NGA,0,1,5,4,1
max kruse,Centre-Forward,33,21/22,union berlin,wolfsburg,3500000,5000000.0,0.0,0.0,1629,18.1,19.0,48.94179894179894,11,5,5,1,Bundesliga,38,5,74,46.78473526331177,GER,0,5,3,-2,1
jonathan ikone,Right Winger,23,21/22,lille,fiorentina,22000000,15400000.0,0.0,0.0,2177,24.2,26.0,66.22110832637148,4,5,1,0,Serie A,24,0,73,25.00781742827145,FRA,0,2,3,1,1
matteo politano,Right Winger,27,21/22,inter,napoli,30000000,22100000.0,0.1136,0.0388912280701754,1908,21.2,22.0,56.98969646338068,9,4,0,0,Serie A,34,7,78,34.07194432651491,ITA,0,1,1,0,1
daniel james,Right Winger,23,21/22,man utd,leeds united,18000000,29100000.0,0.0,0.0,910,10.1,11.0,27.83347257031468,3,1,0,0,Premier League,10,2,32,11.033260340180984,WAL,0,1,5,4,1
dani raba,Centre-Forward,25,21/22,villarreal,granada,900000,0.0,0.3454,0.0,150,1.7,1.0,3.564466722361459,0,0,0,0,Liga,2,1,10,2.6822468898785736,ESP,0,2,4,2,0
romelu lukaku,Centre-Forward,28,21/22,inter,chelsea,100000000,113000000.0,0.0,0.0,2884,32.0,32.0,84.43330548593705,24,11,6,0,Serie A,52,2,82,76.22169271079221,BEL,0,1,1,0,0
nicolas de preville,Centre-Forward,30,21/22,g. bordeaux,fc mtz,3000000,0.0,0.0,0.0,1611,17.9,15.0,43.41409078251184,1,2,0,0,Ligue 1,32,4,74,26.19764555016345,FRA,0,3,5,2,0
billal brahimi,Right Winger,21,21/22,angers,nice,1200000,7000000.0,0.0,0.0,800,8.88888888888889,17.820580474934037,35.205921739427886,3,2,0,0,Ligue 1,17,12,16,17.028521247355673,ALG,0,4,3,-1,0
maxwel cornet,Left Winger,24,21/22,lyon,burnley,12000000,15000000.0,0.0,0.0,2446,27.2,29.0,74.13673071567808,2,5,0,0,Ligue 1,25,12,128,35.06141919215695,CIV,0,1,4,3,1
cristiano ronaldo,Centre-Forward,36,21/22,juventus,man utd,45000000,17000000.0,0.0,0.0,2802,31.1,31.0,81.92703982177667,29,2,6,2,Serie A,36,7,117,81.63330134398707,POR,0,1,1,0,1
ruben rochina,Right Winger,31,21/22,levante,granada,2800000,0.0,0.0,0.0,743,8.255555555555556,17.820580474934037,34.368179235018715,1,3,0,0,Liga,13,4,46,15.492602124925952,ESP,0,4,4,0,0
hannes wolf,Right Winger,22,21/22,leipzig,mönchengladbach,8000000,9500000.0,0.0,0.0,1378,15.3,14.0,38.659147869674186,3,2,0,0,Bundesliga,16,1,56,16.363901734295233,AUT,0,1,3,2,1
jean-philippe mateta,Centre-Forward,24,21/22,mainz,crystal palace,5000000,11000000.0,0.0,0.0,1218,13.5,14.0,36.278195488721806,8,1,1,0,Bundesliga,13,0,13,19.59499574755518,FRA,0,3,3,0,1
bryan gil,Left Winger,20,21/22,sevilla fc,tottenham,30000000,25000000.0,0.0,0.0,2278,25.3,26.0,67.67613478139793,4,3,0,0,Liga,49,18,79,38.0883838983556,ESP,0,2,2,0,0
memphis depay,Centre-Forward,27,21/22,lyon,barcelona,45000000,0.0,0.0,0.0,2923,32.5,33.0,86.41047062099693,20,12,8,0,Ligue 1,94,15,131,96.0759597143431,NED,0,1,1,0,1
sergio aguero,Centre-Forward,33,21/22,man city,barcelona,18000000,0.0,0.0,0.0,559,6.2,7.0,17.411584516847675,4,1,1,1,Premier League,7,1,12,11.659592630236435,ARG,0,1,1,0,0
jason remeseiro,Right Winger,27,21/22,valencia,alavés,2500000,0.0,0.2273,0.0,1183,13.144444444444444,17.820580474934037,40.834963479580736,1,4,0,0,Liga,30,9,28,21.999014414794228,ESP,0,3,4,1,0
nico gonzalez,Left Winger,23,21/22,stuttgart,fiorentina,22000000,27370000.0,0.0,0.0,934,10.4,10.0,26.914508493455862,6,2,3,1,Bundesliga,12,0,27,13.894491803815244,ARG,0,3,3,0,1
jadon sancho,Left Winger,21,21/22,dortmund,man utd,100000000,85000000.0,0.0,0.0,2062,22.9,24.0,61.86995265942634,8,11,1,0,Bundesliga,67,3,178,61.7659268282691,ENG,0,1,1,0,0
carlos bacca,Centre-Forward,34,21/22,villarreal,granada,1800000,0.0,0.0,0.0,786,8.7,9.0,23.3500417710944,5,0,0,0,Liga,5,0,14,11.921693674311255,COL,0,2,4,2,0
ishak belfodil,Centre-Forward,29,21/22,hoffenheim,hertha bsc,2800000,500000.0,0.0,0.0,596,6.6,7.0,17.9406850459482,0,1,0,0,Bundesliga,7,0,8,4.008583443895288,ALG,0,3,3,0,0
isaac success,Centre-Forward,27,21/22,watford,udinese,1800000,1800000.0,0.3369,0.3342240963855422,911,10.122222222222222,17.820580474934037,36.83731503748785,2,6,0,0,Serie A,16,0,22,15.69874400942888,NGA,0,5,3,-2,0
myziane maolida,Left Winger,22,21/22,nice,hertha bsc,7000000,4000000.0,0.0,0.0,1077,12.0,11.0,30.34670008354219,3,1,0,0,Ligue 1,15,5,20,12.47150233315964,COM,0,3,3,0,1
musa barrow,Left Winger,22,21/22,atalanta,bologna,20000000,14340000.0,0.2936,0.0,2921,32.5,34.0,87.72626009468114,8,8,0,1,Serie A,60,12,103,51.266106311044055,GAM,0,2,3,1,1
chris wood,Centre-Forward,29,21/22,burnley,newcastle,6000000,30000000.0,0.0,0.0,2741,30.5,32.0,82.44917850181008,12,3,2,0,Premier League,21,0,20,30.96153957078204,NZL,0,4,3,-1,0
jack harrison,Left Winger,24,21/22,man city,leeds united,15000000,12800000.0,0.0,0.0,2847,31.6,34.0,86.53578390420495,8,8,0,0,Premier League,59,12,98,50.421289819314914,ENG,0,1,5,4,1
jack grealish,Left Winger,25,21/22,aston villa,man city,65000000,117500000.0,0.0,0.0,2185,24.3,24.0,63.7218045112782,6,10,0,0,Premier League,81,3,189,64.13980437507165,ENG,0,3,1,-2,0
lionel messi,Right Winger,34,21/22,barcelona,paris sg,80000000,0.0,0.0,0.0,3023,33.6,33.0,87.86549707602339,30,9,3,2,Liga,77,11,335,100.0,ARG,0,1,1,0,1
aleix vidal,Right Winger,33,21/22,sevilla fc,espanyol,2000000,0.0,0.0,0.0,1025,11.38888888888889,17.820580474934037,38.5128000463062,0,3,0,0,Liga,15,4,23,12.749182379488644,ESP,0,2,3,1,0
lucas alario,Centre-Forward,29,22/23,leverkusen,frankfurt,8000000,6000000.0,0.0,0.0,655,7.3,5.0,16.235032024505706,6,0,0,1,Bundesliga,7,0,10,13.438962588727344,ARG,0,1,3,2,0
alexander isak,Centre-Forward,22,22/23,real sociedad,newcastle,30000000,77500000.0,0.0,0.0,2140,23.8,26.0,65.69200779727096,6,2,2,0,Liga,20,1,43,24.48214522463344,SWE,0,3,3,0,1
leandro trossard,Left Winger,27,22/23,brighton,arsenal,30000000,24000000.0,0.0,0.0,2805,31.2,32.0,83.37510442773602,8,3,1,0,Premier League,47,3,154,42.38351794106169,BEL,0,3,1,-2,1
pierre-emerick aubameyang,Centre-Forward,33,22/23,barcelona,chelsea,15000000,12000000.0,0.0,0.0,2119,23.5,25.0,63.97939292676135,15,2,0,2,Liga,17,0,42,37.744831811099885,GAB,0,1,1,0,0
pietro pellegri,Centre-Forward,21,22/23,monaco,torino,4500000,4200000.0,0.1329,0.5878487593984962,347,3.9,2.0,7.790309106098581,1,0,0,0,Serie A,4,0,1,2.916591603202024,ITA,0,2,3,1,0
angel di maria,Right Winger,34,22/23,paris sg,juventus,12000000,0.0,0.0,0.0,1645,18.3,19.0,49.20634920634921,5,7,0,0,Ligue 1,54,14,112,47.68181366164012,ARG,0,1,1,0,0
adam ounas,Right Winger,25,22/23,napoli,lille,7000000,2500000.0,0.3818,0.6518583735643064,326,3.6,1.0,6.0776942355889725,0,0,0,0,Serie A,12,1,31,7.3645977586197535,ALG,0,1,2,1,0
ademola lookman,Centre-Forward,24,22/23,leipzig,atalanta,10000000,10850000.0,0.0,0.0,1453,16.1,16.0,42.34892787524367,6,0,0,0,Premier League,23,1,54,25.74800258345812,NGA,0,1,2,1,1
adnan januzaj,Right Winger,27,22/23,real sociedad,sevilla fc,12000000,0.0,0.0,0.0,1625,18.1,17.0,46.310219994430526,3,0,2,0,Liga,34,9,80,25.032731969748987,BEL,0,3,2,-1,0
yoann touzghar,Centre-Forward,35,22/23,troyes,ajaccio,600000,0.0,0.0,0.0,1457,16.2,16.0,42.4812030075188,4,0,0,0,Ligue 1,21,0,15,14.911974559798884,TUN,0,5,5,0,0
ivan perisic,Left Winger,30,22/23,inter,tottenham,10000000,0.0,0.1989,0.2697415371903265,2701,30.01111111111112,17.820580474934037,63.145369123319725,8,3,2,0,Serie A,60,31,90,51.30768941737488,CRO,0,1,2,1,1
sebastian polter,Centre-Forward,31,22/23,vfl bochum,fc schalke 04,2200000,1500000.0,0.0,0.0,2341,26.0,27.0,69.91785018100808,10,1,1,1,Bundesliga,28,1,49,33.546088307270395,GER,0,5,3,-2,0
irvin cardona,Centre-Forward,24,22/23,brest,augsburg,2500000,500000.0,0.0,0.0,1334,14.8,13.0,36.68198273461432,4,2,0,0,Ligue 1,15,2,18,16.050337311448324,MLT,0,4,3,-1,0
samu castillejo,Right Winger,27,22/23,ac milan,valencia,4000000,0.0,0.0,0.0,125,1.4,1.0,3.1676413255360623,0,0,0,0,Serie A,2,3,5,2.445398892653746,ESP,0,1,3,2,0
sadio mane,Left Winger,30,22/23,liverpool,bayern munich,70000000,32000000.0,0.0,0.0,2819,31.3,32.0,83.50737956001115,16,2,0,0,Premier League,41,5,130,43.73542642058571,SEN,0,1,1,0,1
cengiz under,Right Winger,25,22/23,roma,marseille,22000000,11400000.0,0.2845,0.31384,2200,24.4,25.0,65.16986911723754,10,2,1,0,Ligue 1,34,9,73,32.44775220720899,TUR,0,1,1,0,1
sasa kalajdzic,Centre-Forward,25,22/23,stuttgart,wolves,25000000,18000000.0,0.0,0.0,1221,13.6,13.0,35.09468114731272,6,1,1,1,Bundesliga,21,0,26,20.744751135204403,AUT,0,3,4,1,1
milan djuric,Centre-Forward,32,22/23,salernitana,hellas verona,1500000,0.0,0.0,0.0,1559,17.322222222222223,17.820580474934037,46.36112456129737,7,2,1,0,Serie A,20,2,37,25.54608421805748,BiH,0,5,4,-1,0
mohamed bayo,Centre-Forward,24,22/23,clermont foot,lille,12000000,14000000.0,0.0,0.0,2413,26.8,27.0,70.97605123920914,14,5,2,1,Ligue 1,31,1,55,44.77443783262719,GUI,0,5,2,-3,1
mohamed-ali cho,Right Winger,18,22/23,angers,real sociedad,15000000,13000000.0,0.0,0.0,1837,20.41111111111111,17.820580474934037,50.44695642490702,4,1,0,0,Ligue 1,14,2,22,11.873041485482569,FRA,0,4,3,-1,1
neal maupay,Centre-Forward,25,22/23,brighton,everton,18000000,11800000.0,0.0,0.0,2276,25.3,25.0,66.36034530771373,8,2,1,1,Premier League,23,2,48,29.868835934983657,FRA,0,3,3,0,0
ignatius ganago,Centre-Forward,23,22/23,lens,nantes,5000000,4400000.0,0.0,0.0,1024,11.4,11.0,29.5530492898914,5,1,0,0,Ligue 1,11,0,14,14.304054332242044,CMR,0,5,3,-2,0
janis antiste,Centre-Forward,19,22/23,spezia,sassuolo,4000000,5680000.0,0.0,0.0,796,8.8,9.0,23.482316903369536,1,0,0,0,Serie A,6,3,7,5.806166862174698,FRA,0,5,3,-2,0
breel embolo,Centre-Forward,25,22/23,mönchengladbach,monaco,15000000,12500000.0,0.0,0.0,2166,24.1,24.0,63.457254246727935,9,3,0,0,Bundesliga,34,0,64,37.09207976293497,SUI,0,3,2,-1,1
memphis depay,Centre-Forward,28,22/23,barcelona,atlético,20000000,3000000.0,0.0,0.0,1851,20.6,20.0,53.56446672236146,12,2,4,1,La Liga,45,9,72,49.65966832231693,NED,0,1,1,0,0
